"symbol" "WT.mean" "WT.sd" "logFC.group" "logFC.30" "logFC.60" "logFC.120" "p.30" "p.60" "p.120" "q.30" "q.60" "q.120" "R2.group" "R2.E" "R2.M" "R2.L"
"AT1G01340" "CNGC10" 1.46095627083333 0.348617097971866 "L" 0.0983749 0.0937256 -0.287075 0.73275 0.7242 0.2909 0.998184 0.997097 0.891929 "L" 0.0899571679717459 0.162110740573404 0.276268379616912
"AT1G01350" "AT1G01350" 8.07434491666667 1.13824582978905 "M" 0.254209 0.270163 0.0464573 0.29335 0.20795 0.82955 0.893112 0.82696 0.998621 "M" 0.448616999954071 0.56506617015051 0.198703328755072
"AT1G01355" "AT1G01355" 0.134891979166667 0.161454712093991 "L" -0.544605 -1.03932 -1.04745 1 1 1 1 1 1 "L" 0.145485181204263 0.15028376933184 0.152679694604011
"AT1G01360" "PYL9" 6.87573145833333 1.73982340368478 "M" -0.0108551 0.19055 -0.0654878 0.96805 0.4388 0.7936 0.998621 0.95392 0.998621 "M" 0.0241389049231311 0.144297310600372 0.00703654568286594
"AT1G01370" "HTR12" 3.0254235 0.633313732696246 "E" 0.382775 -0.0865362 0.204558 0.2575 0.78735 0.50675 0.867985 0.998621 0.969602 "E" 0.150827752063317 0.00557779006155401 0.0289007627831042
"AT1G01380" "ETC1" 0.507965366666667 0.2814963112616 "L" 0.702995 -0.651625 0.848587 1 1 1 1 1 1 "L" 0.0310083457162567 0.0452950901999496 0.0981712747151204
"AT1G01390" "UGT72B2" 1.13625762916667 0.33078310361553 "L" 0.0538451 0.127603 -0.22988 1 1 1 1 1 1 "L" 0.0246432179063433 0.0638466213154474 0.0870152998011905
"AT1G01420" "UGT72B3" 2.94894454166667 0.51550720622779 "L" 0.0508457 -0.172354 -0.7958 0.87295 0.55185 0.0102 0.998621 0.977438 0.223748 "L" 0.147249944493384 0.126772988807533 0.661910169704228
"AT1G01430" "TBL25" 58.4031425 16.259775354867 "L" -0.300179 -0.171606 -0.524888 0.22775 0.44705 0.0177 0.844924 0.956441 0.304849 "E" 0.352004922982484 0.309194466199157 0.317277841224823
"AT1G01440" "AT1G01440" 2.835520875 0.4905179421773 "E" -0.273031 -0.113871 -0.187968 0.3147 0.63375 0.4434 0.904043 0.98715 0.955474 "L" 0.167910302119693 0.113674599258275 0.268777811089464
"AT1G01448" "AT1G01448" 2.279975125 0.508315279501876 "L" -0.0469543 0.223389 -0.250856 0.91835 0.53495 0.48835 0.998621 0.974427 0.965876 "L" 0.0159176325474388 0.113259185373513 0.133296318660644
"AT1G01450" "AT1G01450" 1.643483875 0.312653777469349 "E" -0.676152 -0.0427726 -0.567766 0.2097 0.91885 0.21305 0.828497 0.998621 0.831866 "L" 0.184977083654849 0.00672643046834742 0.193792309534935
"AT1G01453" "AT1G01453" 0.303519410416667 0.147508380875282 "M" 0.0442022 -0.91651 -0.374078 1 1 1 1 1 1 "M" 0.0701661833376893 0.231364807491176 0.155744209688209
"AT1G01470" "LEA14" 168.11136125 55.0063446945803 "M" -0.187345 0.370701 -0.265927 0.5354 0.20165 0.33915 0.974427 0.821285 0.916916 "M" 0.0092028443287776 0.142501054565888 0.00138261471687184
"AT1G01480" "ACS2" 0.485369416666667 0.314067921158823 "M" -0.645923 -0.889014 -0.638917 0.12375 0.0254 0.0943 0.715687 0.371526 0.653504 "L" 0.309021957413218 0.291588410949086 0.309697081468741
"AT1G01490" "AT1G01490" 71.35284875 14.9975209673748 "M" -0.2438 -0.456087 -0.363078 0.34455 0.05105 0.1173 0.919 0.518367 0.704739 "M" 0.612611590311251 0.655355441668842 0.648671979393361
"AT1G01500" "AT1G01500" 5.63639558333333 0.907038841680751 "L" -0.286331 -0.341707 -0.699587 0.2692 0.13535 0.00245 0.874701 0.736691 0.0924752 "E" 0.447109471818959 0.415616964149303 0.428470148131554
"AT1G01510" "AN" 13.8521425 2.01478253230046 "L" -0.0543795 -0.123197 -0.228044 0.81515 0.5482 0.25665 0.998621 0.977154 0.867577 "L" 0.00809362938185965 0.00334000597448714 0.21798733363797
"AT1G01520" "RVE3" 1.63084982083333 0.583535188009087 "E" 0.437005 0.0161075 -0.172247 0.2786 0.9662 0.65695 0.882128 0.998621 0.990035 "E" 0.212192459417464 0.102228420915552 0.0972266848774858
"AT1G01530" "AGL28" 0.1484579125 0.130910523143792 "L" 0.859272 0.21126 1.17029 1 1 1 1 1 1 "L" 0.0321351995367147 0.0268579807148395 0.345402822620556
"AT1G01540" "AT1G01540" 12.7195429166667 1.97756207547154 "L" 0.126869 0.115071 0.234276 0.57775 0.57845 0.25185 0.980235 0.980557 0.863905 "E" 0.24619736183051 0.227690522927417 0.235907019092903
"AT1G01550" "BPS1" 68.8663191666667 11.3513482532141 "M" -0.347644 0.440735 0.12316 0.2173 0.12245 0.6405 0.835712 0.713113 0.987924 "M" 0.0160101726316407 0.0939078780107292 0.0392958510838953
"AT1G01560" "MPK11" 0.924074283333333 0.602895465342986 "L" -0.145241 0.733529 1.53034 0.7164 0.0307 5e-05 0.996625 0.409212 0.00512634 "L" 0.117908522770566 0.0660450154872688 0.49129824476274
"AT1G01570" "AT1G01570" 1.474697425 0.859927621462945 "M" 0.0734009 -0.401469 -0.381991 0.8609 0.29885 0.32125 0.998621 0.895866 0.907567 "M" 0.0881446743165475 0.207021379529255 0.185053664702581
