"symbol" "WT.mean" "WT.sd" "logFC.group" "logFC.30" "logFC.60" "logFC.120" "p.30" "p.60" "p.120" "q.30" "q.60" "q.120" "R2.group" "R2.E" "R2.M" "R2.L"
"AT1G67760" "AT1G67760" 1.379551025 0.423069113122793 "M" 0.104348 0.519219 -0.0643183 0.84345 0.24945 0.88995 0.998621 0.862757 0.998621 "M" 0.0425820238521689 0.180722190865387 0.0165016772260917
"AT1G67780" "AT1G67780" 1.14583942916667 0.333665221613296 "E" 0.585824 -0.08948 -0.0118227 0.151 1 1 0.761447 1 1 "E" 0.274432035804573 0.0519235281240601 0.0310441086129627
"AT1G67785" "AT1G67785" 772.6197875 371.500255876858 "E" 0.535017 0.451871 0.274273 0.0425 0.0521 0.24055 0.477208 0.523459 0.855559 "E" 0.528824649388104 0.412136633448121 0.387262968804966
"AT1G67792" "AT1G67792" 1.32474750833333 0.227797824417316 "M" -0.316944 -0.401962 -0.15118 0.30655 0.1535 0.58195 0.900075 0.766102 0.981581 "E" 0.302619792814731 0.302017602076829 0.250493166061
"AT1G67800" "AT1G67800" 2.86645845833333 0.653501420574883 "M" -0.132276 0.282542 0.204055 0.62375 0.2278 0.3774 0.986434 0.844933 0.93338 "M" 0.0975184351628196 0.113285935431066 0.0805234208357789
"AT1G67810" "SUFE2" 3.48623133333333 1.10718046269144 "M" 0.236626 1.09742 0.807248 0.39065 5e-05 0.00095 0.938761 0.00512634 0.0475354 "M" 0.3581060507151 0.606184603324254 0.457272492201392
"AT1G67820" "AT1G67820" 1.31286525833333 0.408216666587227 "E" -0.75562 -0.202624 0.231678 0.05765 0.53545 0.4668 0.54675 0.974427 0.961086 "E" 0.319657058339625 0.232309068895872 0.171241459768519
"AT1G67830" "FXG1" 7.94209533333333 1.47883586745161 "E" 0.314852 -0.034229 -0.0105765 0.225 0.88465 0.9622 0.842714 0.998621 0.998621 "E" 0.168500670949401 0.0403881465123364 0.0256438909656489
"AT1G67840" "CSK" 10.6925240416667 2.64664356587107 "E" 0.114088 0.0421737 0.108903 0.6226 0.83925 0.6045 0.986434 0.998621 0.984948 "E" 0.0911395176211577 0.0483656636724762 0.0905695213592972
"AT1G67850" "AT1G67850" 2.40362420833333 0.532815739292673 "M" 0.131582 -0.279637 0.0381849 0.6636 0.33415 0.8924 0.991268 0.914353 0.998621 "M" 0.0539216027870913 0.0832268641614836 0.0178634290046137
"AT1G67856" "AT1G67856" 1.29347739166667 0.748540339261922 "L" -0.513286 -0.539751 -0.582946 0.20455 0.12925 0.11385 0.823385 0.726687 0.697809 "E" 0.115421536128784 0.093812034633611 0.114705146068407
"AT1G67860" "AT1G67860" 119.733477083333 64.8410816537053 "L" -0.08844 0.084336 0.159575 0.7041 0.68265 0.4539 0.994982 0.993376 0.958349 "M" 0.0402746480592026 0.0432441679951318 0.0409251350308896
"AT1G67865" "AT1G67865" 82.17580625 63.3951923277295 "M" 0.417118 0.428244 0.40979 0.092 0.0485 0.06225 0.647213 0.506614 0.562473 "E" 0.15766760148563 0.136166912829443 0.157377059484839
"AT1G67870" "AT1G67870" 36.6019465416667 22.5842521417196 "M" -0.058128 -0.773271 -0.619529 0.82265 0.00355 0.00855 0.998621 0.117771 0.202323 "M" 0.132758341411806 0.184373936822506 0.161143204974276
"AT1G67880" "AT1G67880" 6.20658470833333 1.44716268846675 "M" 0.142041 0.18488 0.168453 0.5847 0.4351 0.4663 0.982275 0.953052 0.960984 "M" 0.0804477400792053 0.0900956934369448 0.0836782235788945
"AT1G67890" "AT1G67890" 2.467515 0.351012991648333 "E" -0.124702 -0.0256551 0.0763997 0.62565 0.9082 0.73455 0.986518 0.998621 0.998184 "E" 0.117461293250861 0.0706407478053245 0.058309962991074
"AT1G67900" "AT1G67900" 3.49887016666667 0.550166718190647 "M" -0.139489 -0.302467 -0.11621 0.58865 0.19665 0.6161 0.983542 0.816335 0.986127 "M" 0.127134710872537 0.167479023724525 0.123903049422424
"AT1G67910" "AT1G67910" 25.3761291666667 8.91042799728884 "M" 0.836022 0.939787 0.852518 0.00095 5e-05 1e-04 0.0475354 0.00512634 0.00906508 "L" 0.516283931073574 0.479183645132069 0.518665031681056
"AT1G67920" "AT1G67920" 3.21345286666667 1.63854443696914 "L" -0.0855004 0.777008 0.945968 0.90905 0.2064 0.1347 0.998621 0.825547 0.735472 "M" 0.233169114677808 0.675151833216981 0.633298905041278
"AT1G67930" "AT1G67930" 8.28907633333333 1.72141961119887 "E" -0.129006 -0.0869985 -0.000477695 0.5902 0.69475 0.99725 0.983559 0.993753 0.99876 "E" 0.0925234021863799 0.0725803030743291 0.038466386490168
"AT1G67940" "ABCI17" 7.70730845833333 1.30697606608341 "L" 0.00367091 -0.0221748 -0.294716 0.9941 0.95695 0.49935 0.998621 0.998621 0.968404 "L" 0.0202633829235077 0.0374557594779164 0.1430193079488
"AT1G67950" "AT1G67950" 13.0099112916667 2.85355095898453 "M" 0.056708 0.0888546 -0.0814236 0.85095 0.74505 0.76435 0.998621 0.998445 0.998621 "L" 0.143348928574706 0.340998234009421 0.358877883508075
"AT1G67960" "POD1" 3.348681625 0.558181478906575 "E" -0.260394 0.171842 -0.0741027 0.34105 0.46655 0.7615 0.917761 0.96102 0.998621 "E" 0.136558681900406 0.0557951049438836 0.00135503030389594
"AT1G67970" "HSFA8" 1.52174304166667 0.303420234427361 "M" -0.479861 -0.50085 -0.11668 0.1282 0.07875 0.66585 0.724679 0.612593 0.991701 "M" 0.484456879007209 0.485455093499584 0.305836828684185
"AT1G67980" "CCOAMT" 0.197903982916667 0.220994921243374 "M" 1.04177 -1.37303 1.01194 1 1 1 1 1 1 "L" 0.153038167006195 0.130010578417353 0.230091393586222
"AT1G68000" "PIS1" 25.00607375 4.67444587072402 "M" 0.0230172 0.133461 0.0677793 0.92095 0.52425 0.7436 0.998621 0.973015 0.998445 "M" 0.00869718350351256 0.0492829972833144 0.0247720180850766
"AT1G68010" "HPR" 213.742808333333 45.129875052293 "M" 0.617098 0.641317 0.385511 0.07225 0.0355 0.2085 0.594555 0.438753 0.827285 "E" 0.346427187471001 0.330833575075265 0.284845936203186
"AT1G68020" "TPS6" 3.275858625 0.694746868862435 "M" 0.0250027 -0.479696 -0.36575 0.9189 0.03585 0.10615 0.998621 0.440257 0.681245 "M" 0.19911923744603 0.625793345416904 0.533816884545764
"AT1G68030" "AT1G68030" 1.09753712916667 0.391856617348821 "L" -0.322435 0.541979 0.647822 1 1 0.18215 1 1 0.801186 "M" 0.132731521881152 0.207336882774926 0.188525720167411
"AT1G68050" "ADO3" 1.58922485 0.54640446331588 "E" -0.503746 -0.346595 -0.191154 0.1237 0.22015 0.48655 0.71568 0.838579 0.965053 "E" 0.285112351384646 0.195281917539046 0.212631679915544
"AT1G68060" "MAP70.1" 11.075823375 1.51416617965374 "L" -0.0746032 0.0702616 0.0887949 0.7455 0.7375 0.67195 0.998445 0.998184 0.991997 "E" 0.0704700197297822 0.0433140683966287 0.0360032709773185
"AT1G68070" "AT1G68070" 12.4500066666667 1.82275169910929 "L" -0.0250095 0.080064 -0.191442 0.91035 0.6911 0.35475 0.998621 0.993686 0.922545 "M" 0.0475410795992083 0.268841159266277 0.087728410414587
"AT1G68080" "AT1G68080" 4.03777575 1.00172573360664 "L" 0.0110598 -0.0263712 0.162417 0.9725 0.92275 0.5468 0.998621 0.998621 0.976915 "L" 0.0358201999759895 0.0699634141820183 0.176992601970889
"AT1G68100" "IAR1" 9.940629375 1.729724051575 "E" -0.350392 -0.212283 -0.0870703 0.13925 0.31185 0.67735 0.743229 0.902625 0.992759 "E" 0.215022277768461 0.15521491827778 0.12806088699049
"AT1G68110" "AT1G68110" 4.35601033333333 0.772679555186881 "M" 0.0606197 0.604843 -0.101139 0.84165 0.0188 0.7078 0.998621 0.315405 0.995373 "M" 0.164001866896486 0.635185310209484 0.0926481909446869
"AT1G68120" "BPC3" 0.950767729166667 0.312238101051186 "M" -0.0733266 0.497504 0.277185 1 0.25815 0.53575 1 0.868103 0.974427 "M" 0.0768278848160394 0.186165374819211 0.113412498648225
"AT1G68130" "IDD14" 10.267829625 1.56333688098705 "M" 0.0513693 0.198646 0.110936 0.82395 0.3458 0.5936 0.998621 0.919471 0.983601 "M" 0.0785967150384731 0.167554818113562 0.0963148789949609
"AT1G68140" "AT1G68140" 18.4625745833333 3.07930215545521 "L" -0.218301 -0.141977 -0.297495 0.3434 0.5026 0.15215 0.918491 0.968924 0.763213 "E" 0.301792985349881 0.238622404150207 0.258797498536188
"AT1G68150" "WRKY9" 2.11315291666667 0.559246599334273 "M" 0.141742 -0.489303 -0.445515 0.6825 0.1368 0.1787 0.993376 0.739477 0.797243 "M" 0.197147389651314 0.335956321720447 0.294579259124419
"AT1G68160" "AT1G68160" 4.23917520833333 0.661483955383124 "M" -0.480314 -0.480628 -0.132061 0.08445 0.0541 0.58135 0.627911 0.532247 0.981384 "E" 0.30000251447451 0.285040577010715 0.198639371163242
"AT1G68170" "AT1G68170" 0.445206958333333 0.193666367478307 "E" -Inf 2.17149 0.610814 1 1 1 1 1 1 "M" 0.106975484494435 0.21106516380698 0.0743323946901143
"AT1G68180" "AT1G68180" 0.7913117875 0.479348935055662 "E" -0.911617 0.371476 -0.858141 1 1 1 1 1 1 "L" 0.189308558785507 0.168159871058403 0.282635216692163
"AT1G68185" "AT1G68185" 3.431153375 0.731088745884301 "M" 0.0742668 0.254562 0.125561 0.8151 0.37145 0.6607 0.998621 0.931245 0.99071 "M" 0.0247669014771533 0.0520529708417297 0.0283548495223216
"AT1G68190" "AT1G68190" 5.6643055 1.76272671109479 "M" 0.171411 -0.264008 -0.0379287 0.5629 0.339 0.89135 0.979257 0.916852 0.998621 "E" 0.0324963732838639 0.0227393812025075 0.0110719863203101
"AT1G68200" "AT1G68200" 0.273932255833333 0.130053190225057 "M" 0.262214 -0.512554 -0.422331 1 1 1 1 1 1 "E" 0.0589895296885199 0.0571624366208368 0.0452873505833901
"AT1G68220" "AT1G68220" 37.2017404166667 5.93289409722972 "M" 0.219326 0.285815 0.0623528 0.33765 0.16085 0.7576 0.916116 0.776421 0.998621 "M" 0.472286045537871 0.69102115817339 0.270875767182427
"AT1G68230" "RTNLB14" 2.31173965416667 0.938869511075964 "M" -0.344548 1.08045 0.497387 0.55815 0.02195 0.28655 0.978894 0.345 0.8886 "M" 0.173532462972995 0.400802234746105 0.202053930266437
"AT1G68238" "AT1G68238" 299.912266666667 164.274334627099 "L" 0.606458 0.415234 0.690049 0.0203 0.07615 0.0051 0.329836 0.606063 0.147549 "E" 0.424802986531495 0.310191038560127 0.395056343478139
"AT1G68240" "BHLH109" 0.813665275 0.398009864157307 "M" 0.546397 -0.569294 -0.289947 0.3273 1 1 0.910331 1 1 "E" 0.274337451075235 0.120645368908031 0.0919703008702898
"AT1G68250" "AT1G68250" 1.27817123625 4.64846649709456 "E" -1.11171 -0.850639 -0.81726 1 1 1 1 1 1 "E" 0.0719504893969641 0.027851184116731 0.0704516227981095
"AT1G68260" "AT1G68260" 13.59481425 3.19898176997312 "E" 0.31553 0.276066 0.158306 0.2058 0.22125 0.48135 0.824967 0.839169 0.964161 "E" 0.1638396103761 0.141121528215966 0.11704598349631
"AT1G68290" "ENDO2" 1.800264125 0.649317018186622 "E" -0.633467 -0.581519 -0.0897214 0.5082 0.54035 0.91305 0.970107 0.975025 0.998621 "M" 0.137528117140693 0.142306188456959 0.0724859965816296
"AT1G68300" "AT1G68300" 60.97609125 22.0329304683937 "M" -0.119597 0.258701 0.07087 0.66185 0.2997 0.78035 0.990891 0.896194 0.998621 "M" 0.0360921634378401 0.210075992521276 0.0797107862090358
"AT1G68310" "AE7" 25.750485 5.91839159432402 "L" -0.119219 0.0621427 0.164619 0.6065 0.7646 0.4267 0.985529 0.998621 0.951227 "E" 0.184808348060285 0.0503215746623559 0.168632025456926
"AT1G68320" "MYB62" 0.143711678333333 0.0967308169058401 "L" -1.64667 -0.842644 -3.61407 1 1 1 1 1 1 "E" 0.382715803652931 0.304401745547857 0.331292387011638
"AT1G68330" "AT1G68330" 1.986848625 0.372132520865281 "L" -0.0628419 -0.21088 0.465843 0.8653 0.53245 0.1398 0.998621 0.974192 0.743865 "L" 0.153146907284716 0.340551573990686 0.605196500063402
"AT1G68340" "AT1G68340" 6.99468383333333 1.40877435684325 "E" -0.231034 0.109722 0.190487 0.38555 0.64025 0.41445 0.936862 0.987924 0.947557 "E" 0.252336513199314 0.0427282934836862 0.15216423026434
"AT1G68350" "AT1G68350" 1.48730761666667 0.544374872870575 "E" 1.1142 0.19039 -0.411022 0.0331 0.6998 1 0.424705 0.99455 1 "E" 0.67773132719542 0.348719114677482 0.229372957887275
"AT1G68360" "AT1G68360" 1.3921951375 0.657357819180611 "E" 1.10102 0.0781484 -0.490083 0.0387 0.8608 1 0.457038 0.998621 1 "E" 0.612076959868073 0.274532121327133 0.208188347501935
"AT1G68370" "ATJ15" 10.8177471666667 0.866783541764091 "L" 0.0212484 -0.0670799 0.0899469 0.9278 0.73915 0.66045 0.998621 0.998219 0.99067 "L" 0.0251633533238229 0.109243487052397 0.128308547936721
"AT1G68390" "AT1G68390" 0.524131908333333 0.216551753016592 "E" -1.0987 0.243891 0.483239 1 1 0.23945 1 1 0.854349 "E" 0.514609736329094 0.134614478792335 0.306904991907736
"AT1G68400" "AT1G68400" 3.7858635 0.781550024647453 "E" 0.465598 0.0873035 -0.171652 0.07895 0.7136 0.4803 0.613228 0.996291 0.964149 "E" 0.28318773637334 0.175706462200236 0.136601671265928
"AT1G68410" "AT1G68410" 6.06709279166667 1.19864407869283 "E" -0.346338 -0.0920302 0.207969 0.1511 0.67035 0.3232 0.761633 0.991795 0.908664 "E" 0.324528705636276 0.257014253734739 0.250987562846416
"AT1G68430" "AT1G68430" 8.53691329166667 3.11448548409601 "E" 0.590354 0.522325 0.570176 0.09315 0.1016 0.07465 0.650173 0.670722 0.60134 "E" 0.326862129771567 0.24431110987599 0.326275517084204
"AT1G68440" "AT1G68440" 35.6293683333333 11.6012933334497 "L" 0.313835 0.781499 0.855559 0.2067 0.00145 2e-04 0.825806 0.0643019 0.0153863 "M" 0.367550598390495 0.431100741623348 0.410044060932429
"AT1G68450" "VQ8" 0.42858283375 0.349931649073005 "L" 2.60939 2.38233 3.2512 1 1 0.16345 1 1 0.778982 "E" 0.572960878186799 0.499922704969137 0.526141794380375
"AT1G68460" "IPT1" 0.244360175 0.0860805345796257 "M" 0.881471 2.01182 1.03218 1 1 1 1 1 1 "M" 0.288417354497465 0.587151842653768 0.306521441157411
"AT1G68470" "AT1G68470" 1.20417724166667 0.264795031268957 "M" 0.184779 0.596858 0.160194 0.6512 0.0934 0.6673 0.989035 0.650749 0.991733 "M" 0.0943262651172553 0.225402848088227 0.0876822834055332
"AT1G68480" "JAG" 0.44222475 0.182795268468261 "E" 1.76647 1.41337 0.863928 0.0153 1 1 0.281663 1 1 "E" 0.399674156099812 0.327233581927798 0.24453385698393
"AT1G68490" "AT1G68490" 17.546043125 2.82688207932337 "E" 0.263872 -0.174298 0.193582 0.24325 0.403 0.3472 0.857629 0.942992 0.920359 "E" 0.166705698544246 0.0764332986833406 0.0160156903343587
"AT1G68500" "AT1G68500" 5.21211116666667 1.72760946555292 "E" 1.52006 1.26536 1.45742 5e-05 5e-05 5e-05 0.00512634 0.00512634 0.00512634 "E" 0.625586113081704 0.417901153368159 0.624581320599495
"AT1G68520" "COL6" 67.4005491666667 13.0272319653372 "L" 0.362862 -0.150537 -0.458672 0.1771 0.51825 0.0466 0.795931 0.972282 0.498152 "E" 0.450961976412862 0.429261419857381 0.422047374807819
"AT1G68526" "AT1G68526" 0.257896866666667 0.334697152969602 "M" 1.20278 -Inf -0.931899 1 1 1 1 1 1 "E" 0.41808537318367 0.178009701628361 0.12281852780178
"AT1G68530" "CUT1" 106.216554583333 17.5888826997765 "L" -0.465613 -0.313402 -0.992018 0.12825 0.2645 3e-04 0.724736 0.871084 0.0207729 "E" 0.585923396658258 0.5248206310718 0.538900157589692
"AT1G68540" "TKPR2" 4.96798879166667 1.0827660215969 "E" 0.358941 0.107897 0.226089 0.21645 0.686 0.3882 0.835087 0.993595 0.937792 "E" 0.173584256531072 0.0552561304239211 0.151062384243406
"AT1G68550" "ERF118" 3.36623241950833 1.86872493064597 "M" -0.357366 -0.567191 0.0666914 0.12285 0.00715 0.75085 0.713685 0.181471 0.998445 "E" 0.0897634880722856 0.00528943000763138 0.0457419156775088
"AT1G68560" "XYL1" 46.4699233333333 10.4872249236727 "L" -0.0958983 -0.223228 -0.227968 0.7473 0.3814 0.37685 0.998445 0.934911 0.93338 "L" 0.240283907711533 0.252447544772094 0.253034403014271
"AT1G68568" "AT1G68568" 2.13257922083333 0.773346130330956 "E" -0.43775 -0.0714814 0.265737 0.6642 0.93505 0.75465 0.991399 0.998621 0.998621 "E" 0.23632956124127 0.170046528766627 0.189552468165663
"AT1G68570" "NPF3.1" 5.86288341666667 1.29937362986556 "L" 0.234388 0.530095 0.649589 0.3382 0.0146 0.0033 0.916329 0.275061 0.112145 "M" 0.0394193309085512 0.462249638661244 0.449832050072468
"AT1G68580" "AT1G68580" 7.78551704166667 1.28604380143536 "M" -0.131987 -0.292254 -0.208831 0.56845 0.15915 0.3137 0.979678 0.773708 0.903485 "M" 0.238327825621438 0.272058680949004 0.257808105402928
"AT1G68585" "AT1G68585" 12.4635164166667 3.90037088097254 "E" 0.655543 0.135918 0.252584 0.80055 0.9591 0.9137 0.998621 0.998621 0.998621 "E" 0.354709321853123 0.108342539433724 0.126124771477818
"AT1G68590" "AT1G68590" 348.476283333333 110.362962561256 "M" 0.426449 0.569885 0.189168 0.2366 0.0912 0.5533 0.852341 0.646073 0.977803 "M" 0.2349293916687 0.319329888623829 0.164285039145018
"AT1G68600" "ALMT5" 0.6872744625 0.218787028464458 "L" -0.0740564 -0.209868 -0.267332 1 1 1 1 1 1 "M" 0.00309730889661342 0.0598298476651284 0.0598168366768437
"AT1G68620" "CXE6" 0.7116135375 0.281649148753282 "M" -0.568133 -1.5754 -1.0763 0.13665 9e-04 0.0045 0.739254 0.045749 0.136889 "M" 0.314160456884043 0.371529711712489 0.34399023639924
"AT1G68640" "PAN" 0.5090296875 0.136472389825623 "L" -0.367268 -0.44235 -1.31886 1 1 1 1 1 1 "L" 0.00548076885200088 0.0075292376868541 0.489629282979357
"AT1G68650" "AT1G68650" 5.52793820833333 1.40031057857456 "M" -0.178564 -0.195522 -0.0403059 0.8503 0.81165 0.9609 0.998621 0.998621 0.998621 "E" 0.0259084693588395 0.0249721030617058 0.0168043505870691
"AT1G68660" "AT1G68660" 59.24849875 15.6595543052152 "M" 0.403341 0.48949 0.332436 0.11065 0.0349 0.152 0.690965 0.434626 0.762882 "M" 0.785035227932233 0.835325551300595 0.733223773298791
"AT1G68670" "AT1G68670" 12.7775441666667 1.86811448299666 "M" -0.222153 -0.500641 0.0201498 0.33905 0.01565 0.92065 0.916852 0.285211 0.998621 "M" 0.458476963405276 0.823516831291385 0.233462597499053
"AT1G68680" "AT1G68680" 43.2629495833333 17.8155160625124 "M" 0.146567 0.352704 0.335472 0.5354 0.09725 0.11 0.974427 0.660235 0.689757 "M" 0.250065228129247 0.320612815708422 0.288377509430808
"AT1G68690" "PERK9" 1.19079224583333 0.271265280854825 "M" -0.0584092 -0.191951 0.0179717 0.8409 0.47355 0.94265 0.998621 0.963063 0.998621 "M" 0.0359134886968523 0.069141249977984 0.021082548699337
"AT1G68700" "AT1G68700" 0.190640890833333 0.156781219265095 "M" 0.454876 0.514389 0.367199 1 1 1 1 1 1 "E" 0.0317478344450748 0.0308242591452214 0.0295703404607528
"AT1G68710" "ALA9" 0.794917666666667 0.291736706082909 "M" 0.00984763 -0.516107 -0.460491 0.978 0.10835 0.1403 0.998621 0.685217 0.744596 "M" 0.0873000611098143 0.301489029792366 0.268726689334775
"AT1G68720" "TADA" 2.49797358333333 0.721898219460148 "M" -0.00455353 -0.126172 -0.112309 0.9842 0.5691 0.60785 0.998621 0.979809 0.985668 "M" 0.00459563032443822 0.0254876661741268 0.024011635963899
"AT1G68725" "AGP19" 7.977797 2.14441057857688 "L" 0.0413735 -0.247174 -0.620908 0.88215 0.33605 0.01975 0.998621 0.915682 0.324046 "L" 0.0622482140889573 0.0262506893766028 0.261756401456485
"AT1G68730" "AT1G68730" 32.75473625 11.9586802352204 "L" 0.0928835 0.100307 0.393592 0.7003 0.6463 0.0693 0.99455 0.988571 0.585017 "L" 0.0401291511894293 0.057991584846772 0.512850918993067
"AT1G68735" "AT1G68735" 0.3711802625 0.649258846758035 "L" -Inf 0.938015 -Inf 1 1 1 1 1 1 "L" 0.0441971613171266 0.0595450965623863 0.0745446232422459
"AT1G68740" "PHO1-H1" 5.324499 1.78557064248472 "M" 0.222294 -0.449437 -0.429467 0.4075 0.0708 0.0847 0.944617 0.589536 0.62841 "M" 0.318584668524411 0.390456243106871 0.344597074918335
"AT1G68765" "IDA" 0.863105695833333 1.09560408288698 "L" -0.0810434 -0.128467 0.883115 1 1 0.14905 1 1 0.758399 "L" 0.0289372124666872 0.0521810600597353 0.13405844983248
"AT1G68780" "AT1G68780" 3.0297925 0.579552790805342 "L" 0.0977271 0.0423388 0.158682 0.7349 0.8703 0.544 0.998184 0.998621 0.976065 "L" 0.000604485196551874 5.5100487933113e-05 0.0373983176379132
"AT1G68790" "CRWN3" 4.54164179166667 0.891476541177173 "E" 0.192651 -0.00704817 0.0507682 0.39985 0.97425 0.80475 0.941408 0.998621 0.998621 "E" 0.11002296913183 0.0211103709075585 0.0156228850239254
"AT1G68795" "CLE12" 1.55063937083333 0.49659264880624 "L" -0.13027 -0.0379429 -0.192335 0.72595 0.91285 0.57245 0.99731 0.998621 0.979968 "L" 0.00486272361139051 0.00263369235032707 0.0394079067185865
"AT1G68810" "BHLH30" 7.26921166666667 1.54417215877614 "L" 0.737509 0.395271 0.798993 0.0064 0.10905 0.0016 0.169887 0.687088 0.0686857 "E" 0.579961010169669 0.400709394253418 0.531074423555682
"AT1G68820" "AT1G68820" 6.65930775 1.66435504137758 "E" -0.383502 -0.244895 -0.145654 0.1316 0.278 0.5081 0.731095 0.881485 0.970107 "E" 0.1801953334979 0.11416385195162 0.133955447958727
"AT1G68825" "DVL5" 2.7649991625 1.43610900552474 "M" 0.371541 0.753747 -0.119891 0.37335 0.04525 0.7653 0.932441 0.491988 0.998621 "M" 0.17641688014976 0.388696148970956 0.0723014927995694
"AT1G68830" "STN7" 11.8683445416667 1.71985855517469 "E" 0.340262 0.233194 0.105045 0.1417 0.2539 0.6093 0.746743 0.865478 0.98575 "E" 0.189615661667055 0.170676782258441 0.095099010830617
"AT1G68840" "RAV2" 18.1558775 7.31297823339185 "E" 0.364429 -0.0472048 0.224571 0.1093 0.8214 0.27345 0.687826 0.998621 0.877986 "E" 0.158185770614117 0.00405487079425904 0.0486138017589384
"AT1G68850" "PER11" 1.13192210833333 0.503434429975477 "M" -0.193268 -0.256804 -0.113275 0.6505 0.50515 0.76385 0.989035 0.969183 0.998621 "E" 0.024314066552252 0.0233726564867101 0.0218121070515768
"AT1G68862" "AT1G68862" 6.16276454166667 2.82411997835389 "E" 0.843503 -0.479835 0.0502925 0.06115 0.2935 0.89945 0.558894 0.893144 0.998621 "E" 0.733794120623645 0.0978649135324711 0.0492338937329138
"AT1G68870" "ATSOFL2" 7.5668965 1.59575370065594 "L" 0.173519 -0.712474 -0.929441 0.5591 0.01735 0.0032 0.979008 0.300917 0.110053 "M" 0.292362233981377 0.603501382352479 0.562490949233852
"AT1G68872" "AT1G68872" 1.2329873125 0.287020427401184 "M" -0.322784 -0.364593 -0.0625886 0.4324 0.3236 0.861 0.952434 0.908825 0.998621 "M" 0.184986265903997 0.197136850923562 0.111082477689294
"AT1G68880" "AtbZIP" 8.15441145833333 2.40731957389765 "L" -0.188146 0.225172 0.35091 0.55145 0.3979 0.1913 0.977437 0.941076 0.810508 "L" 0.162189060660108 0.0165173895148131 0.199565693893057
"AT1G68890" "PHYLLO" 1.67109425416667 0.777769011953106 "E" 0.598309 0.179869 0.154137 0.02505 0.4691 0.53265 0.368936 0.961689 0.974231 "E" 0.25852320326583 0.126543785956056 0.0825947646456395
"AT1G68910" "WIT2" 5.13391029166667 0.593829540999441 "E" 0.309618 0.253821 0.252458 0.20805 0.25035 0.2528 0.827007 0.863317 0.864554 "E" 0.544993350615024 0.399420005158026 0.523985522712629
"AT1G68920" "BHLH49" 2.75151070833333 0.449495053233745 "L" 0.0724049 -0.0201834 -0.0731066 0.7857 0.9365 0.76305 0.998621 0.998621 0.998621 "L" 0.0786572469594319 0.0432396026915617 0.127658290133472
"AT1G68930" "PCMP-H22" 0.419177858333333 0.150763509583975 "M" 0.058206 -0.284906 0.00208645 1 1 1 1 1 1 "M" 0.0156711499866251 0.0413008310243281 0.0154458551989491
"AT1G68935" "AT1G68935" 0.383099458333333 0.180579172091911 "E" 0.661028 0.294483 0.616689 1 1 1 1 1 1 "L" 0.0286934604586808 0.0403477653128698 0.0718336626191254
"AT1G68940" "PUB42" 0.726287220833333 0.24562584067128 "E" 0.717552 0.00420508 0.509764 0.0356 1 0.0926 0.438971 1 0.648456 "E" 0.45392915369581 0.00127627645352413 0.237855057158234
"AT1G68945" "AT1G68945" 34.5497158333333 15.6776870283772 "L" 0.521324 0.65129 0.842149 0.0605 0.0088 5e-04 0.556601 0.2056 0.0302842 "L" 0.49215519736831 0.471915213134552 0.492490821764921
"AT1G68980" "AT1G68980" 2.55681091666667 0.254984291558778 "E" 0.169946 0.0555276 -0.116784 0.68225 0.8909 0.77535 0.993376 0.998621 0.998621 "L" 0.119768142351848 0.119615542900828 0.127037626557701
"AT1G68990" "RPOT1" 2.72790825 0.606636664180911 "M" -0.244369 -0.343237 0.243114 0.3917 0.1912 0.31955 0.939053 0.8104 0.906485 "M" 0.409757972035515 0.682825470348329 0.580926265939435
"AT1G69010" "BIM2" 12.838036625 1.82017667383772 "L" -0.239946 -0.0738366 -0.282765 0.31175 0.7263 0.1821 0.902552 0.997312 0.801186 "L" 0.0821886445324179 0.00325014890645292 0.237173364353068
"AT1G69020" "AT1G69020" 0.5149724875 0.120225936616581 "E" 0.552255 0.149888 0.167691 1 1 1 1 1 1 "E" 0.210646977085912 0.0913684228217378 0.0733304254918929
"AT1G69030" "AT1G69030" 17.0370920833333 3.30183463946805 "E" 0.0890137 0.0216725 -0.0474179 0.69395 0.9173 0.8169 0.993753 0.998621 0.998621 "M" 0.0493937423188937 0.0515915498765788 0.00477884569489218
"AT1G69040" "ACR4" 5.44259941666667 1.41950442131719 "M" -0.138416 -0.910334 -0.624939 0.58605 5e-04 0.00875 0.982669 0.0302842 0.205004 "M" 0.103097235331741 0.807801121574914 0.686947237071941
"AT1G69050" "AT1G69050" 1.22928389583333 0.701743664366507 "L" -0.225633 0.327088 -1.03271 0.7042 0.51175 0.1064 0.995031 0.970819 0.681442 "L" 0.0207580940609919 0.158816250367084 0.281603452184559
"AT1G69060" "AT1G69060" 1.60236829166667 0.247268066987241 "L" 0.105964 -0.0926897 0.19194 0.85 0.8619 0.7278 0.998621 0.998621 0.99739 "L" 6.65377209330131e-07 0.0483023113247492 0.0939450765402745
"AT1G69070" "AT1G69070" 5.45620070833333 1.13057827124862 "E" -0.234498 0.0791724 0.178502 0.34945 0.72305 0.42505 0.920959 0.996795 0.950838 "E" 0.42091791773751 0.0998491437060883 0.246138094673812
"AT1G69080" "AT1G69080" 3.60895233333333 0.830817164189605 "M" 0.604943 1.02234 0.839598 0.04545 3e-04 0.00275 0.49298 0.0207729 0.0997159 "M" 0.62699226039214 0.768295924028538 0.682685044488779
