"symbol" "AS2.logFC.30" "AS2.q.30" "AS2.logFC.60" "AS2.q.60" "AS2.logFC.120" "AS2.120.q" "KAN.logFC.30" "KAN.q.30" "KAN.logFC.60" "KAN.q.60" "KAN.logFC.120" "KAN.120.q" "REV.logFC.30" "REV.q.30" "REV.logFC.60" "REV.q.60" "REV.logFC.120" "REV.120.q" "STM.logFC.30" "STM.q.30" "STM.logFC.60" "STM.q.60" "STM.logFC.120" "STM.120.q" "WT.logFC.30" "WT.q.30" "WT.logFC.60" "WT.q.60" "WT.120.logFC" "WT.120.q"
"AT4G34135" "UGT73B2" 0.093 0.957 -0.605 0.117 0.885 0.011 1.071 0.002 1.234 0.002 1.714 0.002 -0.583 0.28 -0.151 0.965 0.756 0.03 0.474 0.217 -0.085 0.923 1.275 0.002 0.364 0.999 0.454 0.659 0.866 0.015
"AT4G38620" "MYB4" 1.125 0.004 1.153 0.004 1.15 0.004 1.383 0.002 1.751 0.002 1.568 0.002 1.108 0.005 1.363 0.005 1.411 0.005 0.783 0.002 0.713 0.002 1.158 0.002 1.101 0.015 0.921 0.015 1.082 0.015
"AT5G12110" "AT5G12110" -2.835 0.004 -1.548 0.004 -2.19 0.004 -1.725 0.002 -1.309 0.002 -0.54 0.165 -0.999 0.005 -0.669 0.076 -0.547 0.246 -1.734 0.002 -1.224 0.002 -1.154 0.002 -1.169 0.048 -0.675 0.523 -0.795 0.323
"AT5G27420" "ATL31" 1.299 0.004 1.794 0.004 1.159 0.004 1.377 0.002 1.875 0.002 1.996 0.002 0.207 0.936 1.03 0.005 0.754 0.033 0.53 0.08 0.19 0.727 0.781 0.002 1.34 0.015 1.418 0.015 1.185 0.015
"AT5G39580" "PER62" 1.151 0.004 1.904 0.004 1.449 0.004 1.179 0.002 1.817 0.002 1.55 0.002 -0.371 0.719 0.945 0.03 0.842 0.051 -0.244 0.603 -0.98 0.002 0.707 0.005 0.42 0.708 0.24 0.999 0.737 0.033
"AT5G44585" "AT5G44585" 1.178 0.004 1.785 0.004 0.879 0.027 1.133 0.002 1.747 0.002 1.986 0.002 0.947 0.009 1.488 0.005 1.882 0.005 0.85 0.006 0.098 0.917 0.713 0.033 1.151 0.015 0.853 0.09 1.379 0.015
"AT5G48490" "AT5G48490" -0.7 0.115 0.84 0.035 0.724 0.028 0.065 0.964 1.365 0.002 1.191 0.002 1.719 0.005 1.064 0.005 -0.057 0.999 0.676 0.012 0.27 0.536 0.524 0.081 0.518 0.522 -0.044 0.999 0.873 0.015
"AT5G48540" "CRRSP55" 0.212 0.855 0.722 0.061 1.145 0.004 0.713 0.061 0.902 0.012 1.119 0.002 -0.106 0.994 0.777 0.038 0.99 0.005 1.15 0.002 0.427 0.329 1.432 0.002 0.754 0.098 0.688 0.214 1.435 0.015
"AT5G48570" "FKBP65" -1.991 0.004 -1.109 0.004 -1.99 0.004 -1.303 0.002 -1.563 0.002 -0.76 0.002 -1.374 0.005 -1.263 0.005 -0.368 0.606 -2.099 0.002 -1.36 0.002 -1.238 0.002 -1.405 0.015 -0.6 0.379 -0.852 0.025
"AT5G52640" "HSP81-1" -2.37 0.004 -1.085 0.004 -1.619 0.004 -0.616 0.057 -1.148 0.002 -0.024 0.992 -1.348 0.005 -1.258 0.005 -0.645 0.118 -1.641 0.002 -1.123 0.002 -0.796 0.002 -0.971 0.015 -0.133 0.999 -0.483 0.603
"AT5G52670" "AT5G52670" 1.632 0.078 3.432 0.004 2.51 0.004 1.08 0.22 2.087 0.006 2.32 0.002 1.774 0.08 3.011 0.005 3.679 0.005 0.567 0.585 0.139 0.95 3.616 0.002 2.398 0.06 1.218 0.629 2.781 0.041
"AT5G57220" "CYP81F2" 1.686 0.004 3.094 0.004 2.722 0.004 1.931 0.002 3.079 0.002 3.159 0.002 -0.34 0.814 0.853 0.058 1.105 0.005 1.654 0.002 0.988 0.002 2.867 0.002 1.464 0.015 1.923 0.015 2.242 0.015
"AT5G64905" "PEP3" 2.981 0.011 3.264 0.004 2.899 0.004 1.327 0.051 2.096 0.002 2.192 0.002 1.068 0.27 1.229 0.086 1.509 0.035 1.377 0.006 -0.188 0.892 1.439 0.005 1.872 0.041 1.091 0.473 1.778 0.06
